CAGDP1 County and MSA gross domestic product (GDP) summary
CAGDP1 County and MSA gross domestic product (GDP) summary
County
GeoFips,GeoName,LineCode,Description,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
36055,"Monroe, NY",3,Current-dollar GDP (thousands of current dollars),35649729,36986626,38125420,39174097,40770933,41554291,41201653,42327162,42396304,42950283,44757621
36057,"Montgomery, NY",1,Real GDP (thousands of chained 2017 dollars),1645831,1635950,1689099,1684093,1699400,1757132,1679989,1711399,1764627,1773294,1750685
36057,"Montgomery, NY",3,Current-dollar GDP (thousands of current dollars),1317861,1356026,1444251,1467963,1507621,1571612,1525326,1583136,1655816,1689779,1696152
36059,"Nassau, NY",1,Real GDP (thousands of chained 2017 dollars),87524457,88385007,91043704,92290343,94207268,97401895,96803224,99436369,96864840,97250567,98758548
36059,"Nassau, NY",3,Current-dollar GDP (thousands of current dollars),68943307,71742229,75828051,77958724,80725672,84365733,84923654,89132993,88651793,90993844,94761573
36061,"New York, NY",1,Real GDP (thousands of chained 2017 dollars),516143664,546123247,546133887,504340908,548920749,574295954,585070202,627212574,629682393,652200331,666022941
36061,"New York, NY",3,Current-dollar GDP (thousands of current dollars),397393865,433065577,448651866,416137057,441655681,475037193,494077691,543251722,564164258,605387881,632113508
36063,"Niagara, NY",1,Real GDP (thousands of chained 2017 dollars),9529816,9597659,9495613,9275805,9201673,9700144,9928643,9379065,9480554,9585193,9323929
36063,"Niagara, NY",3,Current-dollar GDP (thousands of current dollars),7536095,7852182,7907932,7816059,8152229,8550636,8859202,8462736,8753429,9134038,9077174
36065,"Oneida, NY",1,Real GDP (thousands of chained 2017 dollars),9850948,10054557,10419560,10418487,10507594,10753031,10586653,10628561,10480024,10462099,10500410
36065,"Oneida, NY",3,Current-dollar GDP (thousands of current dollars),7835906,8269422,8823068,8963340,9194113,9518174,9506392,9726349,9756435,9938524,10173889
36067,"Onondaga, NY",1,Real GDP (thousands of chained 2017 dollars),27267427,27308743,27952199,27794118,27459667,28324349,28053633,28725590,28856431,29724001,30938629
36067,"Onondaga, NY",3,Current-dollar GDP (thousands of current dollars),21966947,22593698,23656314,23861904,24211819,25103471,25173314,26325762,26927131,28255597,30050160
36069,"Ontario, NY",1,Real GDP (thousands of chained 2017 dollars),4645677,4760997,4883367,4982345,4952559,5290468,5323701,5381608,5737310,5815988,6275835
36069,"Ontario, NY",3,Current-dollar GDP (thousands of current dollars),3695672,3906004,4106350,4261552,4353789,4663158,4765466,4932605,5360249,5517824,6100304
36071,"Orange, NY",1,Real GDP (thousands of chained 2017 dollars),15747142,15491942,15580478,16045312,16082042,16563327,16337841,16427692,16526467,16707153,17351885
36071,"Orange, NY",3,Current-dollar GDP (thousands of current dollars),12270591,12513139,12943871,13588733,13948509,14496934,14532678,14922635,15297126,15788018,16775900
36073,"Orleans, NY",1,Real GDP (thousands of chained 2017 dollars),1224947,1225394,1246742,1371606,1492105,1532078,1410460,1367224,1400614,1355338,1416287
36073,"Orleans, NY",3,Current-dollar GDP (thousands of current dollars),932891,958746,1022264,1147080,1262673,1316106,1247083,1238421,1299910,1283054,1378431
36075,"Oswego, NY",1,Real GDP (thousands of chained 2017 dollars),5698970,5486020,5512078,5540740,5692965,6221229,6232057,6525487,6819577,6617568,6796114
36075,"Oswego, NY",3,Current-dollar GDP (thousands of current dollars),4543429,4647465,4749633,4790525,5295340,5691808,5730110,5935288,6355793,6497552,6697817
36077,"Otsego, NY",1,Real GDP (thousands of chained 2017 dollars),2335899,2412814,2344537,2434452,2455580,2543389,2517614,2490157,2499755,2454211,2492659
36077,"Otsego, NY",3,Current-dollar GDP (thousands of current dollars),1807068,1930075,1936740,2046154,2107823,2210132,2227144,2257136,2315402,2315658,2406849
36079,"Putnam, NY",1,Real GDP (thousands of chained 2017 dollars),3708475,3761860,3941951,3838910,3863424,4026556,4034982,3676915,3689497,3752368,3703727
36079,"Putnam, NY",3,Current-dollar GDP (thousands of current dollars),2909016,3062001,3294377,3261209,3306294,3487308,3534588,3291417,3371675,3506078,3552031
36081,"Queens, NY",1,Real GDP (thousands of chained 2017 dollars),79227553,79714450,82431315,83205981,83534970,85784902,86783257,88252700,90286458,92912911,95725972
36081,"Queens, NY",3,Current-dollar GDP (thousands of current dollars),60762518,63312189,67121541,68793106,70636373,73138720,74912232,78109576,81692353,86409994,91966155
36083,"Rensselaer, NY",1,Real GDP (thousands of chained 2017 dollars),5541595,5733312,5842744,6179864,6105067,6329175,6516067,6524007,6460509,6655845,6983819
36083,"Rensselaer, NY",3,Current-dollar GDP (thousands of current dollars),4341370,4647246,4860310,5238032,5300775,5531227,5782241,5889684,5949956,6281855,6744407
36085,"Richmond, NY",1,Real GDP (thousands of chained 2017 dollars),13720682,13299029,13781779,14174198,14343548,14596701,14735145,14815045,15187466,15293141,15503633
36085,"Richmond, NY",3,Current-dollar GDP (thousands of current dollars),10667675,10685878,11355697,11865868,12119289,12495420,12741356,13053440,13673308,14127851,14770756
36087,"Rockland, NY",1,Real GDP (thousands of chained 2017 dollars),18009765,18569450,18333622,19391985,20384443,21031674,20920499,20744349,19505576,19456522,20078244
36087,"Rockland, NY",3,Current-dollar GDP (thousands of current dollars),13472430,14355368,14480555,15778853,17176465,17801556,18195643,18549692,17780470,18153887,19230074
36089,"St. Lawrence, NY",1,Real GDP (thousands of chained 2017 dollars),4374533,4229418,4273089,4333395,4291213,4495742,4637161,4605428,4737978,4869464,4694125
36089,"St. Lawrence, NY",3,Current-dollar GDP (thousands of current dollars),3424104,3507724,3653192,3759521,3835114,4033411,4229878,4225876,4442081,4707774,4573701
36091,"Saratoga, NY",1,Real GDP (thousands of chained 2017 dollars),9194503,9533972,9620287,9635931,9626734,10112000,10223024,10304665,10514216,10470057,10976368
36091,"Saratoga, NY",3,Current-dollar GDP (thousands of current dollars),7166427,7694680,7963865,8139992,8337871,8812397,9063545,9320093,9710628,9893490,10609109
36093,"Schenectady, NY",1,Real GDP (thousands of chained 2017 dollars),8420520,8525258,8471914,8527850,8537250,8306970,8260499,8077136,8158370,7997416,8146459
36093,"Schenectady, NY",3,Current-dollar GDP (thousands of current dollars),6609100,6904933,7048597,7219638,7511200,7311899,7347057,7349396,7567584,7548320,7907326
36095,"Schoharie, NY",1,Real GDP (thousands of chained 2017 dollars),934956,931466,906632,906608,901566,957178,939068,939130,953008,941388,966477
36095,"Schoharie, NY",3,Current-dollar GDP (thousands of current dollars),724733,747069,755155,770676,778888,832134,826911,843676,875743,882791,927604
36097,"Schuyler, NY",1,Real GDP (thousands of chained 2017 dollars),483914,477184,513158,531049,532840,543602,552862,541792,544635,570922,549279
36097,"Schuyler, NY",3,Current-dollar GDP (thousands of current dollars),374045,380352,421855,447057,456335,471270,490910,496246,510450,545347,533508
36099,"Seneca, NY",1,Real GDP (thousands of chained 2017 dollars),1145593,1180157,1191912,1252887,1311401,1352770,1375092,1376808,1372610,1404871,1415042
36099,"Seneca, NY",3,Current-dollar GDP (thousands of current dollars),883270,937387,975291,1046164,1127710,1168441,1209320,1244166,1274274,1329548,1370366
36101,"Steuben, NY",1,Real GDP (thousands of chained 2017 dollars),4404633,4565963,4444087,4675165,4365728,4591498,4538188,4371363,4545166,4713274,4509558
36101,"Steuben, NY",3,Current-dollar GDP (thousands of current dollars),3447580,3714893,3753607,4014545,3825234,4052224,4063820,3995389,4246459,4476923,4385352
36103,"Suffolk, NY",1,Real GDP (thousands of chained 2017 dollars),82345137,84700031,85316383,88071714,89435104,93112788,92616487,94285380,94461388,95175859,96596993
36103,"Suffolk, NY",3,Current-dollar GDP (thousands of current dollars),64343124,68340124,70641756,74030172,76446707,80277908,81185983,84529553,86579666,89293557,92913160
36105,"Sullivan, NY",1,Real GDP (thousands of chained 2017 dollars),2869626,2794222,2738671,2863727,2900849,2879986,2823864,2897165,2884371,2850706,2865965
36105,"Sullivan, NY",3,Current-dollar GDP (thousands of current dollars),2180705,2198784,2224070,2375873,2462165,2468289,2451376,2574317,2618064,2651504,2748459
